type,title,date_added,release_year,rating,listed_in
Movie,**The Last Days of American Crime**,06/05/2020,2020,",?TV-MA","Action & Adventure, Dramas, Independent Movies"
Movie,**Hot Sweet Sour**,06/04/2020,2017c,",?TV-14","Dramas, International Movies, Romantic Movies"
Movie,**Overnight Republic**,06/04/2020,2017,",?TV-MA","Comedies, International Movies"
Movie,**Can’t Complain**,06/03/2020,2007c,",?TV-MA","Comedies, International Movies, Romantic Movies"
Movie,**Lady Bird**,06/03/2020,2017S,",?R","Comedies, Dramas, Independent Movies"
Movie,**Spelling the Dream**,06/03/2020,2020,",?TV-G","Children & Family Movies, Documentaries"
Movie,**Andaleeb El Dokki**,06/02/2020,2008s,",?TV-14","Comedies, International Movies"
Movie,**Let's Dance**,06/02/2020,2006c,",?TV-14","Comedies, Dramas, International Movies"
Movie,**My Horrible Grandma**,06/02/2020,2012,",?TV-MA","Comedies, Dramas, International Movies"
Movie,**Sorry To Disturb**,06/02/2020,2008),",?TV-14","Dramas, International Movies"
Movie,**The Student Cop**,06/02/2020,2004s,",?TV-14","Action & Adventure, Comedies, International Movies"
Movie,**What's Up?**,06/02/2020,2006S,",?TV-PG","Comedies, Dramas, International Movies"
Movie,**X Large**,06/02/2020,2011S,",?TV-14","Comedies, International Movies, Romantic Movies"
Movie,**122**,06/01/2020,2019C,",?TV-MA","Horror Movies, International Movies"
Movie,**Mr. Romantic**,06/02/2020,2009(,",?TV-14","Comedies, International Movies, Romantic Movies"
Movie,**Chippa**,06/01/2020,2020S,",?TV-14","Comedies, Dramas, Independent Movies"
Movie,**Cook Off**,06/01/2020,2017S,",?TV-G","Comedies, International Movies, Romantic Movies"
Movie,**Kalek Shanab**,06/01/2020,2019c,",?TV-PG","Comedies, International Movies"
Movie,**Mirai**,06/01/2020,2018s,",?PG","Action & Adventure, Anime Features, Children & Family Movies"
Movie,**The Disaster Artist**,06/01/2020,2017C,",?R","Comedies, Dramas"
TV Show,**Dear My Friends**,06/01/2020,2016S,",?TV-MA","International TV Shows, Korean TV Shows, TV Dramas"
Movie,**The Stolen**,06/01/2020,2016C,",?TV-14",Dramas
Movie,**High Strung Free Dance**,5/31/2020,2019,",?TV-14","Dramas, Music & Musicals, Romantic Movies"
Movie,**Freej Al Taibeen**,5/29/2020,2018C,",?TV-PG","Comedies, Dramas, International Movies"
Movie,**Kenny Sebastian: The Most Interesting Person in the Room**,5/29/2020,2020S,",?TV-MA",Stand-Up Comedy
Movie,**The Other**,5/29/2020,1999s,",?TV-MA","Dramas, International Movies, Romantic Movies"
Movie,**Grandmother's Farm**,5/28/2020,2014s,",?TV-14","Comedies, Horror Movies, International Movies"
Movie,**Grandmother's Farm Part 2**,5/28/2020,2015S,",?TV-14","Comedies, Horror Movies, International Movies"
Movie,**Intuition**,5/28/2020,2020c,",?TV-MA","Dramas, International Movies, Thrillers"
Movie,**I'm No Longer Here**,5/27/2020,2019C,",?TV-MA","Dramas, Independent Movies, International Movies"
Movie,**Hannah Gadsby: Douglas**,5/26/2020,2020,",?TV-MA",Stand-Up Comedy
Movie,**Ne Zha**,5/25/2020,2019),",?TV-14","Action & Adventure, Comedies, International Movies"
TV Show,**Supergirl**,5/25/2020,2019),",?TV-14","TV Action & Adventure, TV Sci-Fi & Fantasy"
